batting_team,bowling_team,venue,pitch_condition,temperature,humidity,overs_completed,runs_scored,wickets_lost,run_rate,last_5_overs_runs,striker_strike_rate,non_striker_strike_rate,partnership_runs,boundaries_hit,extras_conceded,predicted_total
Lucknow Super Giants,Sunrisers Hyderabad,Rajiv Gandhi International Stadium,bowling friendly,37,67,5.4,33,0,5.69,18,69.86,63.35,26,2,14,122
Rajasthan Royals,Lucknow Super Giants,Ekana Cricket Stadium,flat,38,51,5.5,57,1,10.07,36,121.23,126.37,37,5,13,215
Gujarat Titans,Lucknow Super Giants,M. Chinnaswamy Stadium,flat,36,38,19.6,172,4,8.94,45,108.36,112.73,29,11,13,182
Mumbai Indians,Lucknow Super Giants,Ekana Cricket Stadium,balanced,31,32,14.0,104,4,6.96,38,94.61,72.98,56,7,6,145
Chennai Super Kings,Punjab Kings,Arun Jaitley Stadium,dry,25,66,13.9,98,4,7.17,40,88.09,87.93,14,6,12,147
Sunrisers Hyderabad,Chennai Super Kings,M. A. Chidambaram Stadium,green,26,48,12.1,72,1,5.63,33,71.12,69.04,38,6,5,120
Gujarat Titans,Mumbai Indians,Wankhede Stadium,slow,25,56,19.3,91,7,4.97,24,68.54,60.79,49,9,3,120
Punjab Kings,Kolkata Knight Riders,M. A. Chidambaram Stadium,slow,33,51,18.4,83,7,4.5,20,56.08,48.69,41,8,4,120
Delhi Capitals,Kolkata Knight Riders,Ekana Cricket Stadium,balanced,40,43,11.1,78,2,7.13,34,91.09,80.64,83,5,3,139
Delhi Capitals,Kolkata Knight Riders,Arun Jaitley Stadium,green,26,50,9.3,53,2,5.84,21,74.79,67.14,30,4,8,120
Gujarat Titans,Lucknow Super Giants,PCA Stadium,batting friendly,29,46,17.9,142,6,7.92,37,99.04,102.04,23,11,9,167
Lucknow Super Giants,Royal Challengers Bangalore,Narendra Modi Stadium,flat,33,72,6.8,62,2,8.44,30,113.91,95.4,37,4,11,191
Lucknow Super Giants,Rajasthan Royals,Narendra Modi Stadium,flat,40,85,6.0,55,3,8.72,33,119.18,93.78,35,3,13,187
Royal Challengers Bangalore,Kolkata Knight Riders,Narendra Modi Stadium,dry,40,37,17.4,116,5,6.18,36,84.0,79.13,22,11,7,131
Kolkata Knight Riders,Delhi Capitals,Arun Jaitley Stadium,batting friendly,37,86,6.4,49,1,8.45,32,111.46,105.6,44,4,5,154
Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium,dry,33,57,15.5,101,1,6.62,39,85.63,84.33,42,8,7,135
Rajasthan Royals,Royal Challengers Bangalore,Ekana Cricket Stadium,flat,38,55,10.4,111,1,9.97,51,125.93,101.9,32,11,5,221
Chennai Super Kings,Lucknow Super Giants,M. Chinnaswamy Stadium,flat,32,90,7.3,66,4,8.42,31,104.55,90.93,19,7,6,187
Kolkata Knight Riders,Lucknow Super Giants,M. Chinnaswamy Stadium,batting friendly,25,43,11.5,95,3,8.51,52,113.58,91.7,62,10,13,172
Royal Challengers Bangalore,Gujarat Titans,M. A. Chidambaram Stadium,dry,26,66,6.6,56,1,7.14,26,98.97,79.72,68,4,2,175
Sunrisers Hyderabad,Royal Challengers Bangalore,Narendra Modi Stadium,slow,37,69,13.3,67,4,5.41,32,71.68,65.38,58,5,13,120
Rajasthan Royals,Sunrisers Hyderabad,Eden Gardens,batting friendly,37,72,10.6,97,0,9.43,47,114.52,114.93,54,8,6,187
Gujarat Titans,Lucknow Super Giants,M. A. Chidambaram Stadium,green,28,70,17.9,93,5,5.49,25,67.18,55.23,41,9,15,120
